[11-Jan-2022 21:18:46 UTC] PHP Notice:  Undefined variable: showProjects in /Applications/MAMP/htdocs/portfolio/inc/projects.php on line 10
[11-Jan-2022 21:19:06 UTC] PHP Notice:  Undefined variable: showProjects in /Applications/MAMP/htdocs/portfolio/inc/projects.php on line 10
[11-Jan-2022 21:19:14 UTC] PHP Notice:  Undefined index: text in /Applications/MAMP/htdocs/portfolio/inc/cards.php on line 23
[11-Jan-2022 21:19:14 UTC] PHP Notice:  Undefined index: text in /Applications/MAMP/htdocs/portfolio/inc/cards.php on line 23
[11-Jan-2022 21:19:14 UTC] PHP Notice:  Undefined index: text in /Applications/MAMP/htdocs/portfolio/inc/cards.php on line 23
[11-Jan-2022 21:19:14 UTC] PHP Notice:  Undefined index: text in /Applications/MAMP/htdocs/portfolio/inc/cards.php on line 23
[11-Jan-2022 21:21:13 UTC] PHP Notice:  Undefined index: text in /Applications/MAMP/htdocs/portfolio/inc/cards.php on line 25
[11-Jan-2022 21:21:13 UTC] PHP Notice:  Undefined index: text in /Applications/MAMP/htdocs/portfolio/inc/cards.php on line 25
[11-Jan-2022 21:21:13 UTC] PHP Notice:  Undefined index: text in /Applications/MAMP/htdocs/portfolio/inc/cards.php on line 25
[11-Jan-2022 21:21:13 UTC] PHP Notice:  Undefined index: text in /Applications/MAMP/htdocs/portfolio/inc/cards.php on line 25
[11-Jan-2022 21:21:26 UTC] PHP Notice:  Undefined index: text in /Applications/MAMP/htdocs/portfolio/inc/cards.php on line 25
[11-Jan-2022 21:21:26 UTC] PHP Notice:  Undefined index: text in /Applications/MAMP/htdocs/portfolio/inc/cards.php on line 25
[11-Jan-2022 21:21:26 UTC] PHP Notice:  Undefined index: text in /Applications/MAMP/htdocs/portfolio/inc/cards.php on line 25
[11-Jan-2022 21:21:26 UTC] PHP Notice:  Undefined index: text in /Applications/MAMP/htdocs/portfolio/inc/cards.php on line 25
[11-Jan-2022 21:21:45 UTC] PHP Notice:  Undefined index: text in /Applications/MAMP/htdocs/portfolio/inc/cards.php on line 25
[11-Jan-2022 21:21:45 UTC] PHP Notice:  Undefined index: text in /Applications/MAMP/htdocs/portfolio/inc/cards.php on line 25
[11-Jan-2022 21:21:45 UTC] PHP Notice:  Undefined index: text in /Applications/MAMP/htdocs/portfolio/inc/cards.php on line 25
[11-Jan-2022 21:21:45 UTC] PHP Notice:  Undefined index: text in /Applications/MAMP/htdocs/portfolio/inc/cards.php on line 25
[11-Jan-2022 21:27:54 UTC] PHP Notice:  Undefined variable: showProjects in /Applications/MAMP/htdocs/portfolio/inc/projects.php on line 10
[11-Jan-2022 21:27:56 UTC] PHP Notice:  Undefined variable: showProjects in /Applications/MAMP/htdocs/portfolio/inc/projects.php on line 10
[26-Jan-2022 20:06:44 UTC] PHP Warning:  A non-numeric value encountered in /Applications/MAMP/htdocs/portfolio/inc/cards.php on line 24
[26-Jan-2022 20:06:44 UTC] PHP Warning:  A non-numeric value encountered in /Applications/MAMP/htdocs/portfolio/inc/cards.php on line 24
[26-Jan-2022 20:06:44 UTC] PHP Warning:  A non-numeric value encountered in /Applications/MAMP/htdocs/portfolio/inc/cards.php on line 24
[26-Jan-2022 20:06:44 UTC] PHP Warning:  A non-numeric value encountered in /Applications/MAMP/htdocs/portfolio/inc/cards.php on line 24
